"text","target"
"This has led to frustration and anger after the many years of loyal service.",-0.2888888888888889
"My brother is the only person I would say is lazy.",-0.7126436781609194
"The project was never finished and I felt gutted and disturbed.",-0.5444444444444444
"If there was the option to not make an effort, they wouldn't.",-0.7741935483870969
"I loved the fact that I had an excuse to do as little as possible!",-0.7111111111111111
"she asked me to join her at one point, but i was unable to.",-0.1839080459770115
"I honestly believe if the ex colleague was there we wouldn't have lasted so long on the job.",-0.3888888888888889
"She spent hours researching all the different accreditations which would be best for her.",0.7634408602150539
"My friend seemed to excel at this but eventually she gave up as she was unsuccessful earning money on the platform due to the recent surge in people working from home.",-0.5287356321839081
"I answered this call and was asked to submit some photos of my work, which I did",0.38709677419354843
"on the day i arrive at the offices and complete the interview, i felt confident all my hard work had paid off.",0.7777777777777778
"But anyway, I digress, my usual method of transportation to work is a mini bus service.",0.0
"My friend was a very good dancer and would practice for hours and hours on end every day with encouragement from her parents and was a very good dancer.",0.8505747126436782
"I really hate having lazy days and i hate days that are exhaustingly full too",-0.04301075268817204
"once we reach windsor we want to sit down as the fatigue is starting to catch up to us and we get some ice cream.",-0.053763440860215055
"However when i got my results and informed the college of them they said i didnt have the required results and that they wouldnt be offering me a place for that year.",-0.3888888888888889
"and I was staying with them for three weeks; one week of which was this trip.",0.011111111111111112
"I stretched out of bed, having to place one hand on the floor for balance with my legs anchored beneath my duvet.",0.03225806451612903
"She worked so hard for the role that she definitely deserved the promotion and everyone was happy for her as it was great that she had shown that hard work pays off in the long term and is proof that it works.",0.8817204301075269
"Richard is a good person and I have known him since secondary school, but he was lazy then and he is even lazier now.",-0.7222222222222222
"I knew my cardiovascular fitness was relatively low so I took upon the challenge of completing a marathon.",0.8279569892473119
"we have a little race to see who can get there first",0.3333333333333333
"Being a referee in football has really benefited me and I'm glad I was able to achieve my goals in doing so.",0.688888888888889
"The approaching deadline would encourage me to get going and complete this on time, everytime.",0.7126436781609194
"Achieving this goal also made me want to find other new projects to work on and gave me motivation and energy to put into my work going forward.",0.8850574712643678
"It took me longer than the 8 weeks originally proposed to be able to do 5k byt eventually I managed it.",0.5111111111111112
"One day while browsing Facebook I spotted an advert for a musical theatre dance fitness class.",0.022222222222222223
"I updated my cover letter and complied a list of people I hoped I could call upon should I need them as a reference.",0.6666666666666666
"He performed well all year contributing a number of individual performances which allowed certain games to be won which may not have been if he had failed.",0.7555555555555555
"I tried many different solutions over those years but just didnt understand enough, i always got caught in this rut of trying to push myself too much physically which honestly I just couldnt handle at the time.",-0.39999999999999997
"I also put in place a new system and word seemed to get around about how efficient I was.",0.7333333333333334
"Jill however, had real problems adapting to retired life and ended up becoming a bit of a hermit.",-0.6451612903225806
"I am tired of the upkeep of life- the endless washing, cleaning, sorting, tidying.",-0.7126436781609194
"She has said that she now wants to use the techniques she used to gain confidence in herself in her personal life so this work goal is also set to help her in all aspects of her life.",0.7111111111111111
"As a result of obtaining the masters degree, he was able to further accelerate his career and therefore his income.",0.8666666666666667
"Whatever the reason, it never felt like the right choice of degree for him.",-0.4222222222222222
"During the summer holidays we are at maximum capacity and do not get a minute rest.",0.1839080459770115
"I was called into the room and the interview began, I answered all the questions and felt that I had performed really well.",0.6555555555555556
"This caused him to fail second year for the second time and be kicked out of the university.",-0.8222222222222223
"He allowed his career to stop due to this and ended up losing his home and had to live in council property.",-0.811111111111111
"By this i think of a time where an acquaintance (someone i know moderatey well) was struggling to get a job within the career they want to pursoe and stuck in a bar job that is run poorly and they are taken advangtage of becuase of thier hard work ethic.",-0.24444444444444444
"However, in the most recent clubhouse - we had some unexpected guests turn up who we bumped into and invited them.",0.06896551724137931
"She walked around me as I sat on the chair with my hands underneath each buttock.",-0.03333333333333333
"For example, taking on extra leadership roles, joining the senior leadership team for experience, taking on other responsibilities around the workplace and supporting others in their work.",0.8444444444444444
"This was a mental block that I had to overcome, and 'better late than never' became my mantra.",0.3448275862068966
"I was able to achieve the goal of getting my undergraduate degree and then obtaining a first in my masters and straight after this I was able to get an assistant psychologist job post following my masters graduation which again was another goal ticked off my box.",0.9333333333333332
"Sometimes i met him at meetings but othertimes we worked in different places.",0.03333333333333333
"I decided after 8 weeks of expressing and bottle feeding that I would go onto formula.",0.19999999999999998
"In the morning however, I was mortified to find pots unwashed, lounge a mess!",-0.37634408602150543
"Her original plan had been to join the Army, but she had broken her collarbone in a skiing accident a few years ago and realised she would never be accepted - she even had to wait a year for surgery.",-0.367816091954023
"There is no expectation for anyone else to clean up after her, but if we want to use what is there, we would have to clean it to use which is unfair.",-0.4444444444444444
"He studied the right applicable business related courses and had support from his family who were successful business-people.",0.7011494252873564
"Eventually, we both completed all of our deliveries before time, and even though we were tired and achey afterwards, we were both happy and content that we had completed the task earlier than expected",0.7333333333333334
"During my undergraduate days, I had this friend who could fit into the title of the laziest human on earth.",-0.7311827956989246
"Furthermore, I was signed off of school for several months following an illness which meant that I ended up missing out on several subjects that would have been included in my exam.",-0.3655913978494623
"I found this process difficult and I frequently changed working locations and procrastinated in order to avoid the task.",-0.8064516129032259
"This caused some tension, as my family had to do things to care for me, and this made me feel worse about being unwell and unable to contribute in anyway - this likely retarded my recovery and actually exacerbated the situation, as I ended up in a loop of trying to help without being fully well enough to do so.",-0.5591397849462366
"The written test asked a lot of specific technical questions about the job.",0.011494252873563218
"One of my neighbours just couldn't seem to be bothered to keep his waste bins tidy outside his house, or to keep it from looking very scruffy.",-0.7222222222222222
"I asked if I could make myself a cup of tea.",0.15555555555555556
"I saw this job for a college nurse and it sounded fantastic.",0.4597701149425288
"To prepare I sacrificed a lot of spare time, two to three hours per day for nearly six months to just revise and learn the topics.",0.7419354838709676
"Whilst I definitely had the desire to see and achieve the end result, I couldn't bring myself round to actually planning and completing the work.",-0.5862068965517241
"It felt good.",0.2413793103448276
